Number of Open Accounts,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Annual Income,Months since last delinquent,Home Ownership,Term,Years in current job,Credit Default
11,18.7,1230548,432960,523944,14583,1215240,7,0.092368046,0.583192905,0.126700744,1
10,17.5,547492,385968,378271,11248,749892,21,0.180264064,-0.235664764,0.126700744,0
13,10.9,99088,112530,62890,27591,1078478,40,0.180264064,-0.235664764,0.013849095,0
5,5.5,262922,326084,133513,8751,1432839.658,32,0.180264064,-0.235664764,0.126700744,0
16,14.8,859760,787556,683107,44324,1651822,54,0.180264064,-0.235664764,0.013849095,1
22,8.8,993762,129382,350170,21881,1042016.453,35,-0.193546938,-0.235664764,-0.1128066,1
4,12,661914,125488,174933,10071,1178434.91,73,0.180264064,0.583192905,-0.1128066,0
18,17.4,1327260,66990,757682,42913,1150040.254,23,-0.193546938,-0.235664764,0.013849095,0
8,16.4,236324,150326,114494,12403,1186973.339,35,0.180264064,-0.235664764,-0.1128066,0
10,9.3,511522,329670,155059,19841,1167395.105,19,0.180264064,0.583192905,0.013849095,1
18,18.8,386144,355410,155059,25179,2398047,38,-0.193546938,-0.235664764,-0.1128066,0
12,26.7,1567456,54648,383097,6937,660687,18,0.180264064,-0.235664764,-0.68396445,0
12,26.7,227458,220924,116698,11088,1125712,23,0.180264064,-0.235664764,0.126700744,0
17,10,895092,573452,216448,13051,1533310.35,21,0.180264064,0.583192905,0.126700744,1
9,14.5,622776,259512,322183,7618,1214005,45,0.180264064,-0.235664764,0.013849095,1
14,22.5,332420,99999999,196080,22020,1321222,30,-0.193546938,0.583192905,-0.68396445,0
7,7.2,68904,86064,43263,7031,1151798.986,39,0.180264064,-0.235664764,0.013849095,0
14,15,311388,227612,67241,7655,1134072,8,0.180264064,0.583192905,0.126700744,1
16,16.6,881848,448624,381558,32665,1297947,24,0.180264064,-0.235664764,-0.1128066,0
19,21.2,173844,109978,110808,29419,1918620,13,-0.193546938,-0.235664764,-0.68396445,0
9,18.5,195118,129800,94373,11498,1215361.812,26,-0.193546938,-0.235664764,0.013849095,0
10,20,195580,104368,116223,22559,853974,32,0.180264064,-0.235664764,0.126700744,0
14,18.5,1184062,99999999,830357,35772,1511488,14,-0.193546938,-0.235664764,0.126700744,0
11,24.9,578974,329912,244511,13668,1044696,57,0.180264064,-0.235664764,0.126700744,0
12,16.7,1280576,516736,817304,17010,1214993,29,0.092368046,0.583192905,0.013849095,1
24,30.1,2209768,775390,1059193,49688,2028098,36,-0.193546938,0.583192905,0.126700744,0
14,18,1493228,523094,337877,12235,1512989.014,29,0.180264064,0.583192905,0.013849095,1
12,32,242638,133848,88635,16888,951425,49,0.180264064,-0.235664764,-0.68396445,0
14,15.8,307010,70224,60192,8391,1148753.338,40,0.180264064,-0.235664764,0.013849095,0
7,6.5,148588,264264,22838,17794,736307,16,-0.193546938,-0.235664764,0.126700744,1
11,17.8,286946,497376,150423,19414,1354472,30,-0.193546938,0.583192905,0.126700744,0
11,16.5,351912,327734,153178,17068,1226488,42,-0.193546938,-0.235664764,0.013849095,0
7,31.4,575850,99999999,484386,33892,2364550,15,0.180264064,-0.235664764,-0.68396445,0
12,28.4,625812,260436,189696,11924,1244272,26,-0.193546938,0.583192905,0.126700744,0
22,21.7,1979120,99999999,345268,18964,976676,22,0.180264064,-0.235664764,0.126700744,0
7,10.7,213994,237622,92226,9225,858173,30,0.180264064,-0.235664764,0.126700744,0
4,22.7,96624,105908,34048,9265,1089992,13,0.180264064,-0.235664764,0.126700744,0
9,22.4,566434,538230,329726,23521,2138241,32,0.180264064,0.583192905,0.013849095,1
21,10,1046254,269324,392160,19952,1240567,34,0.180264064,-0.235664764,0.126700744,0
10,15.2,397628,365244,280896,13819,863683,46,0.180264064,0.583192905,-0.1128066,0
7,16.5,329934,55682,108566,17525,865431,47,0.180264064,-0.235664764,0.013849095,1
9,12.6,1055010,324104,357162,17260,1119594,39,0.092368046,-0.235664764,-0.1128066,1
9,20.1,689502,129668,378119,10471,1829035,48,-0.193546938,-0.235664764,0.126700744,0
9,13.5,600314,174526,169024,4995,828970,33,-0.193546938,-0.235664764,-0.68396445,0
12,14.6,232012,270556,97185,23365,1306702.372,45,-0.193546938,-0.235664764,-0.1128066,0
10,39.8,415646,99999999,191330,5914,1828940,17,-0.193546938,-0.235664764,0.126700744,0
19,31.9,884268,321420,659832,52820,2313288,41,-0.193546938,-0.235664764,0.126700744,0
11,22.1,520476,99999999,83163,13437,525236,63,-0.193546938,-0.235664764,-0.1128066,0
11,10.7,316316,334158,261155,9004,1074013,30,0.092368046,0.583192905,-0.1128066,0
13,19.7,325864,215864,236398,14718,1903154,26,-0.193546938,-0.235664764,-0.68396445,0
18,21.3,679118,531124,313785,18531,1242296,54,0.180264064,0.583192905,0.013849095,0
15,15.1,635030,218196,210064,12555,1733674,38,-0.193546938,-0.235664764,-0.1128066,0
7,14.4,329186,301224,31274,19712,1379412.841,44,0.180264064,-0.235664764,0.013849095,0
9,12.1,843876,322014,292258,9811,927010,26,0.180264064,-0.235664764,0.013849095,1
8,34.8,589908,224994,195643,14331,971565,11,-0.193546938,-0.235664764,-0.68396445,0
14,20.5,206008,416482,141436,26142,1592390,13,0.180264064,-0.235664764,0.126700744,0
13,9.5,469238,325710,282872,22269,1428807.24,24,0.180264064,-0.235664764,0.013849095,0
7,5.1,161898,45276,21109,5120,372362,23,0.180264064,-0.235664764,0.126700744,0
7,28.5,298848,35420,198474,11932,1338113,55,0.180264064,-0.235664764,0.126700744,0
9,26.1,424864,270072,274455,17155,1306702.372,69,-0.193546938,-0.235664764,0.126700744,0
14,16.2,693528,763378,574978,37516,1883660,17,-0.193546938,0.583192905,0.126700744,0
9,12.6,330066,447656,19095,17917,1449795,17,0.180264064,0.583192905,0.013849095,0
5,15.8,418660,296208,301169,16884,824638,31,0.180264064,-0.235664764,-0.1128066,0
10,35.7,1422498,425744,637602,16739,800280,41,0.092368046,-0.235664764,-0.68396445,0
6,14.4,731082,222178,106704,2336,844284,12,0.180264064,-0.235664764,-0.1128066,0
18,15.4,566742,78452,362197,26391,996128.45,63,-0.193546938,-0.235664764,-0.1128066,1
10,18.7,749562,418000,362501,20542,1207549.518,37,-0.193546938,-0.235664764,0.126700744,1
10,10.8,186670,219626,137845,5982,1090108.478,74,0.180264064,-0.235664764,0.126700744,1
14,20,369842,178376,191634,6876,962825,31,0.180264064,-0.235664764,-0.1128066,1
8,17.9,846912,99999999,604903,20686,1723851,30,0.180264064,0.583192905,-0.68396445,0
5,16.2,359722,153538,1558,8145,1207623.149,29,0.092368046,-0.235664764,0.126700744,0
9,16.6,440924,327426,152703,23497,1429294.046,11,-0.193546938,0.583192905,0.013849095,0
10,19.7,1713074,265826,571083,27173,1168747,27,0.180264064,-0.235664764,0.126700744,0
17,24.5,1876644,99999999,1210680,43114,1841157,20,-0.193546938,-0.235664764,0.013849095,0
10,18.8,511764,99999999,256348,15038,777841,30,0.092368046,-0.235664764,0.013849095,0
13,27.3,2659624,162624,1745682,53574,1189284.797,48,-0.193546938,-0.235664764,0.126700744,0
3,15.5,489016,174680,136420,2433,528010,33,0.180264064,-0.235664764,0.013849095,0
10,25.1,461428,221826,141075,12052,939075,18,0.092368046,0.583192905,0.013849095,0
19,21.5,586718,219010,466697,22458,1092418.096,13,0.180264064,-0.235664764,0.126700744,1
11,21.8,580096,312026,112214,9320,673721,33,-0.193546938,-0.235664764,0.126700744,0
11,20.8,1495648,460658,1158658,53974,2500723,34,0.180264064,-0.235664764,-0.68396445,1
15,10.6,301224,97944,72580,14456,630819,26,-0.193546938,-0.235664764,-0.1128066,0
10,10.4,865106,219714,557365,8317,1897530,75,0.180264064,-0.235664764,0.126700744,0
9,20.4,352484,166430,99845,12158,718694,19,0.180264064,-0.235664764,0.013849095,0
8,12.7,364276,218064,135603,19963,2259936,79,0.180264064,-0.235664764,0.013849095,0
12,7.2,345312,219604,139574,12065,1056761,58,0.180264064,-0.235664764,-0.1128066,0
9,16,439054,483098,203623,25073,1161660,15,-0.193546938,0.583192905,0.126700744,0
9,9.5,252780,220066,82517,37156,3230969,20,-0.193546938,-0.235664764,-0.1128066,1
13,17.6,128656,246576,31559,9872,911259,29,0.092368046,0.583192905,0.013849095,0
8,12.2,575586,538846,455335,23888,1514579.105,28,0.180264064,-0.235664764,0.126700744,1
16,11,569338,225126,296989,31031,1633183,22,0.180264064,-0.235664764,-0.68396445,1
10,34.4,1135772,538670,766080,33975,1104869,13,0.092368046,-0.235664764,0.126700744,1
8,20.2,574420,21780,81358,14077,1270055,40,-0.193546938,-0.235664764,-0.68396445,0
8,10,361680,61358,115577,4929,473195,71,-0.193546938,-0.235664764,0.126700744,0
8,19,249876,156134,171988,4003,340670,8,0.092368046,-0.235664764,-0.68396445,0
12,19.1,941006,99999999,741988,36243,2528577,46,0.180264064,-0.235664764,0.126700744,0
8,15.6,2391576,331056,1774220,50446,1734529,42,-0.193546938,-0.235664764,0.126700744,0
13,18.1,891198,521620,627285,21169,2515201,31,-0.193546938,0.583192905,-0.68396445,0
10,12.1,547602,195448,93632,13527,911924,36,-0.193546938,-0.235664764,0.126700744,1
10,15.1,173866,102982,127946,18807,1111728,14,-0.193546938,-0.235664764,0.013849095,0
9,29,158466,322036,74309,2268,2001232,8,-0.193546938,0.583192905,0.126700744,0
13,18.2,352352,175670,106495,24558,1327473,10,-0.193546938,-0.235664764,0.126700744,0
10,12.3,373428,751454,295089,13190,1631701,69,0.180264064,0.583192905,0.126700744,1
32,16.2,1697212,437448,504222,20070,1416735,14,0.180264064,0.583192905,0.013849095,1
11,9.4,536558,422246,243751,21986,1270536.361,37,0.180264064,-0.235664764,0.126700744,1
8,21.1,891990,43956,103227,4652,1632195,25,-0.193546938,-0.235664764,-0.68396445,0
12,22.3,392238,516912,184946,20821,1711292,29,-0.193546938,0.583192905,0.126700744,0
27,35,1041524,178222,225777,16145,731101,10,0.180264064,-0.235664764,-0.1128066,0
3,15.3,131230,218702,110599,8549,1247496.478,25,0.180264064,-0.235664764,0.013849095,0
11,16,1406196,614020,729885,35757,2424210,41,-0.193546938,-0.235664764,0.013849095,0
9,14,495858,99999999,168302,9187,1020756,30,0.180264064,-0.235664764,0.126700744,0
8,21,492250,343904,400482,15881,1614981,38,-0.193546938,-0.235664764,0.013849095,0
11,10.3,524502,125532,207005,15633,942685,64,0.092368046,-0.235664764,-0.1128066,0
13,7,1115774,318032,640813,19265,1144446,30,-0.193546938,-0.235664764,0.013849095,0
6,32.3,145706,121396,92112,3737,476520,39,0.180264064,-0.235664764,0.126700744,0
9,18.2,525712,164076,176624,12989,708472,25,-0.193546938,-0.235664764,-0.1128066,0
10,16.3,1036486,585618,782344,28056,1145130,28,0.092368046,-0.235664764,0.013849095,0
23,18.2,1550340,538186,301264,25545,1338588,46,-0.193546938,-0.235664764,-0.1128066,1
9,38.7,501248,766150,335920,36360,2814964,15,-0.193546938,-0.235664764,-0.68396445,0
10,20.9,360866,300432,117819,16837,852492,45,0.180264064,-0.235664764,0.126700744,0
13,21.8,542982,664554,336224,42471,3443598,5,-0.193546938,0.583192905,0.126700744,0
9,17,649858,317064,423168,15770,1435408.431,27,-0.193546938,0.583192905,-0.1128066,0
7,16.7,727430,60566,143241,9186,1143744.146,23,0.180264064,-0.235664764,-0.1128066,0
10,12.8,645216,99999999,324862,17064,718485,30,-0.193546938,-0.235664764,-0.1128066,0
9,18.6,369666,448360,216448,15694,1374631,13,-0.193546938,-0.235664764,0.126700744,1
11,22.6,1244474,664752,283746,29024,1913680,10,0.180264064,-0.235664764,0.126700744,0
4,12.7,0,11242,0,1243,349391,0,0.180264064,-0.235664764,0.126700744,0
16,11.4,454256,539044,309928,25138,1178361,48,-0.193546938,0.583192905,-0.1128066,0
5,10.7,51788,67562,36537,4355,513380,27,0.092368046,-0.235664764,-0.1128066,0
10,17.9,369468,237688,117097,19502,1119708,30,0.180264064,-0.235664764,0.126700744,0
5,7.6,299992,185064,240692,11599,1048072.916,58,0.180264064,-0.235664764,0.126700744,1
13,17.3,549318,277002,283689,44249,1818452,34,-0.193546938,-0.235664764,0.126700744,0
11,10.2,254254,234630,75544,5113,1084835.645,12,0.180264064,-0.235664764,-0.1128066,1
9,17.2,1081762,431244,639958,19312,1614028.292,36,-0.193546938,-0.235664764,0.013849095,0
12,10,564960,314864,141987,23039,1436911.704,17,0.092368046,0.583192905,0.013849095,0
10,16.2,841874,787556,554762,33174,1651822,44,0.092368046,0.583192905,-0.1128066,1
18,18.5,1070278,252890,668306,66909,3304157,37,-0.193546938,-0.235664764,-0.1128066,0
20,21.1,640068,260414,322829,29824,1161983,26,0.092368046,0.583192905,-0.1128066,0
9,10.9,421168,438856,236075,7280,1146517,22,-0.193546938,-0.235664764,0.126700744,0
10,8.6,561528,738386,208050,6090,1687049.753,19,0.180264064,-0.235664764,-0.1128066,1
7,17.5,436876,756910,164882,24887,1531514,40,-0.193546938,0.583192905,0.126700744,0
11,8.2,637296,454894,324178,31569,1515307,46,0.180264064,-0.235664764,0.126700744,0
20,27.3,790460,214874,341335,20439,1005195,30,-0.193546938,-0.235664764,-0.1128066,0
15,17,203236,242066,124279,14858,1082939.654,24,0.180264064,0.583192905,0.126700744,1
7,13.7,188298,405944,6669,5690,782192,45,0.180264064,-0.235664764,-0.1128066,0
9,16.2,380006,101662,158840,9314,610736,45,0.092368046,-0.235664764,0.126700744,0
19,17.9,1279058,265408,716908,30116,1050548,20,-0.193546938,-0.235664764,0.013849095,0
13,14.6,263978,137456,136097,13240,1168215,65,-0.193546938,-0.235664764,-0.1128066,0
10,13.1,455598,221166,185725,16140,1146042,12,0.180264064,-0.235664764,0.013849095,1
12,9,189794,533192,100491,8013,1253658,39,0.180264064,-0.235664764,0.126700744,1
11,39,1421970,787248,847362,24076,1723236.026,54,0.180264064,0.583192905,0.126700744,1
16,12.4,482064,358688,293094,26753,1425664.377,26,-0.193546938,-0.235664764,0.126700744,0
7,27.5,180642,278806,94392,14731,1829909,39,0.180264064,-0.235664764,0.013849095,0
9,9,386122,352924,182400,11145,1427649.249,35,0.092368046,-0.235664764,0.013849095,0
10,28.3,530574,99999999,357428,34479,2377850,30,0.180264064,-0.235664764,0.013849095,0
11,14.5,542872,431332,76418,14668,931285,41,-0.193546938,-0.235664764,0.013849095,0
9,28.6,285098,68464,174819,6206,605454,24,-0.193546938,-0.235664764,0.126700744,1
15,16,508926,262152,185915,22186,1292399,7,-0.193546938,0.583192905,0.126700744,1
15,10.1,496122,195932,347054,10905,752096,29,-0.193546938,-0.235664764,0.013849095,0
8,10.1,454894,334554,293873,18408,990565,16,0.180264064,-0.235664764,-0.1128066,0
13,14,253264,258698,199044,15896,1340507,40,0.180264064,0.583192905,-0.1128066,0
8,19,890956,401192,574009,24889,1376341,24,-0.193546938,-0.235664764,0.126700744,0
17,13.9,548394,223124,214548,10398,820895,26,-0.193546938,-0.235664764,0.126700744,1
9,15.9,238194,169400,148732,5364,1183065.959,28,0.180264064,-0.235664764,-0.1128066,0
11,22.7,419826,292930,287166,23570,1321697,22,-0.193546938,0.583192905,0.126700744,1
5,13.4,746988,352396,530309,19972,1141254,21,0.180264064,-0.235664764,-0.1128066,0
6,18.5,487498,194964,324178,20082,1193421.863,9,-0.193546938,-0.235664764,0.126700744,0
7,23,157432,448272,115558,16289,1045285,24,-0.193546938,0.583192905,0.126700744,0
14,11.5,878746,247698,234498,14031,1273801.817,16,0.180264064,-0.235664764,0.126700744,0
11,12.7,906400,217184,408614,20421,1287101.79,19,-0.193546938,-0.235664764,0.013849095,0
8,20.5,80982,208318,19019,9999,602965,15,0.180264064,-0.235664764,0.013849095,0
7,21.1,0,99999999,0,284,2432000,30,-0.193546938,-0.235664764,0.126700744,0
14,8.9,403788,298606,236778,8674,937745,45,0.180264064,-0.235664764,0.126700744,1
9,28.8,265012,392150,30666,7412,1091303,72,-0.193546938,-0.235664764,-0.1128066,0
14,19.4,380556,247720,237956,16531,972420,55,0.092368046,-0.235664764,0.126700744,1
17,21.6,1872838,698236,446424,24160,3203514,33,-0.193546938,-0.235664764,0.126700744,0
9,14.5,728068,631312,281694,28033,1241308,29,-0.193546938,0.583192905,0.126700744,1
14,28.2,878856,616792,534356,84359,3234199,1,-0.193546938,-0.235664764,-0.68396445,1
13,17.1,302346,348238,116204,26206,1315769,13,0.180264064,0.583192905,0.126700744,0
14,28.9,10428660,656766,1089802,16531,1818377.242,29,0.092368046,-0.235664764,-0.68396445,0
6,28.6,66638,99999999,26828,18246,1937620,59,-0.193546938,-0.235664764,0.126700744,0
14,8.5,437184,99999999,196346,11607,1160748,19,-0.193546938,-0.235664764,-0.68396445,0
9,9.3,437866,773476,205333,14251,1526840,63,-0.193546938,0.583192905,-0.1128066,1
13,23.9,623832,225104,529606,39348,1710798,9,-0.193546938,-0.235664764,0.013849095,0
4,9.5,74558,33792,8759,1266,622782,35,0.180264064,-0.235664764,0.013849095,0
10,18.7,0,53834,0,7626,1162649.821,16,-0.193546938,-0.235664764,0.013849095,0
22,15.8,1270896,519134,376466,25437,1774676,29,-0.193546938,-0.235664764,0.126700744,1
12,12.7,616308,303754,291156,21456,1425479.703,14,0.180264064,-0.235664764,0.126700744,0
14,14.4,521048,374066,143108,19222,1423401.392,29,0.180264064,-0.235664764,-0.1128066,0
14,20.5,780164,269852,247285,20703,2569123,68,-0.193546938,-0.235664764,0.126700744,0
12,14,1025068,99999999,290377,17851,1457205,30,0.180264064,-0.235664764,0.013849095,0
14,26.4,422532,188936,89775,12798,959880,45,-0.193546938,-0.235664764,0.013849095,0
13,11.5,118030,98824,19171,8429,1414607,38,0.092368046,-0.235664764,0.013849095,0
16,27.6,712206,309034,351215,13615,1047356,26,-0.193546938,0.583192905,0.126700744,0
6,11.9,171622,550506,43871,18626,1170229,32,0.180264064,-0.235664764,-0.68396445,0
10,33.8,1090562,246378,690384,12625,1066888,43,-0.193546938,0.583192905,0.126700744,1
10,21,578204,379588,341069,16282,655652,19,-0.193546938,-0.235664764,0.013849095,0
10,16.9,960916,322278,633194,25606,1562254.242,14,-0.193546938,-0.235664764,0.126700744,0
8,4.8,508222,99999999,61446,9655,673588,30,0.180264064,-0.235664764,-0.1128066,0
3,10.1,100628,167706,67792,11659,1185656.086,22,0.180264064,-0.235664764,0.126700744,0
14,19.7,1616010,546304,654550,20082,1070080,32,0.180264064,0.583192905,0.013849095,0
19,15.3,925584,283624,333336,20475,1507384,81,0.180264064,-0.235664764,0.126700744,0
16,27,1294502,652014,635018,23587,1804271.577,29,-0.193546938,0.583192905,0.126700744,0
13,21.5,962742,312554,689282,24801,2024526,31,-0.193546938,0.583192905,0.126700744,1
7,25.8,1065790,613844,770431,37346,1436362,41,-0.193546938,-0.235664764,-0.68396445,0
8,21.3,107602,175560,80275,13760,1705725,9,-0.193546938,-0.235664764,0.126700744,0
12,16,940302,659076,653733,28859,1479929,32,0.180264064,0.583192905,0.126700744,0
6,15.1,237182,359172,4712,969,2326512,31,0.180264064,-0.235664764,0.126700744,1
9,21.5,6622,66506,494,27382,2106302,70,0.180264064,-0.235664764,0.013849095,0
12,21.1,544764,766150,362729,48208,1688555.897,13,-0.193546938,0.583192905,0.013849095,1
16,19.7,546502,539660,403541,14330,2136189,41,-0.193546938,-0.235664764,0.126700744,0
8,22.1,923010,542740,607411,25436,1874920,41,-0.193546938,-0.235664764,0.013849095,0
12,11.3,746636,325688,230850,6785,862543,24,-0.193546938,-0.235664764,-0.1128066,0
11,17.5,675092,433708,270522,10406,1985196,11,0.180264064,0.583192905,0.126700744,0
11,15.4,310002,118558,82460,24204,1171486.611,72,-0.193546938,-0.235664764,-0.1128066,0
12,17.5,503800,108306,154470,3801,260604,38,0.180264064,-0.235664764,-0.1128066,1
5,16.2,189376,202796,140163,23653,1284343,16,-0.193546938,-0.235664764,0.126700744,0
7,33.3,820512,430056,665380,21292,1051441,36,0.180264064,0.583192905,0.013849095,1
5,8.8,92774,85294,1995,4992,1232530,39,0.180264064,-0.235664764,0.013849095,0
10,16.1,387266,218394,87628,10315,711379,37,0.180264064,-0.235664764,0.013849095,0
14,16,544170,273130,195510,14271,1037894,36,0.092368046,-0.235664764,-0.1128066,0
20,41.5,2110262,497904,235106,31835,1832208,33,-0.193546938,-0.235664764,0.126700744,1
6,14.7,251900,430804,104633,24485,1971915,37,-0.193546938,0.583192905,0.013849095,1
6,23.9,212916,217470,58102,18349,1126890,25,-0.193546938,0.583192905,-0.1128066,1
8,17.4,347666,133804,82574,17575,1049590.347,42,0.180264064,-0.235664764,0.126700744,1
10,11.7,230274,132792,127281,12590,1049590.347,29,0.180264064,-0.235664764,0.126700744,1
11,16.4,1221880,155122,616265,30010,1607647,60,0.180264064,-0.235664764,0.126700744,0
3,11,26752,99999999,13623,5174,481270,48,0.092368046,-0.235664764,0.126700744,0
9,15.8,765644,573122,276412,11075,1265742,50,-0.193546938,0.583192905,0.013849095,0
10,17.8,195316,153758,60382,14670,575301,44,0.180264064,-0.235664764,0.126700744,1
15,13.8,734492,271590,317167,22401,1768539,34,-0.193546938,-0.235664764,-0.1128066,0
11,20.5,795168,649242,289123,30699,2523200,33,-0.193546938,0.583192905,0.126700744,1
5,17,415888,559306,255740,12845,1829768.789,27,0.180264064,-0.235664764,0.013849095,0
8,19,222618,35816,83239,9592,609026,55,-0.193546938,-0.235664764,0.013849095,0
12,20.5,360404,395648,277020,12701,789697,35,0.092368046,-0.235664764,0.126700744,0
7,19.7,527252,432432,354711,18519,1073557,32,0.180264064,-0.235664764,0.126700744,0
9,16.5,217932,155672,157909,14980,1728468,71,-0.193546938,-0.235664764,0.013849095,0
5,9,366608,258852,295070,14158,1360315.797,40,0.180264064,-0.235664764,0.126700744,0
9,24,206228,133034,94753,8617,517009,62,-0.193546938,-0.235664764,0.013849095,1
15,11,343068,44264,188442,8962,477945,38,0.180264064,-0.235664764,0.126700744,0
10,29.5,636042,154264,103816,12601,666140,52,0.180264064,-0.235664764,-0.1128066,0
8,23.5,1066054,542146,530309,14533,898966,41,0.180264064,-0.235664764,0.126700744,0
7,15.6,1429428,659406,1154269,45133,1955233,16,0.092368046,0.583192905,0.126700744,1
15,18.9,472164,179146,212040,19766,1199166,35,-0.193546938,-0.235664764,-0.1128066,1
10,34.2,766502,265760,350854,15002,994612,11,-0.193546938,0.583192905,-0.1128066,1
19,17.9,1270588,99999999,389557,31424,1412327,32,0.180264064,-0.235664764,0.013849095,0
10,27,310948,257686,145027,24987,931190,48,0.092368046,0.583192905,0.013849095,1
11,31.9,718498,110220,510701,28668,2474940,3,0.180264064,-0.235664764,0.013849095,0
13,14.6,631246,328372,352184,12391,743451,29,-0.193546938,0.583192905,-0.68396445,0
7,12.2,975084,99999999,549898,14522,1555967,30,-0.193546938,-0.235664764,0.126700744,0
13,11.3,330814,450956,246278,28228,1205493,46,-0.193546938,0.583192905,0.126700744,1
11,22.2,1109372,99999999,937004,37754,2137025,30,-0.193546938,-0.235664764,0.126700744,0
19,35.3,3615722,441276,1361483,40905,2191346,25,-0.193546938,-0.235664764,0.126700744,0
12,19.3,892628,389180,569696,26798,1432094.007,13,-0.193546938,-0.235664764,0.126700744,0
10,17,893244,442464,448989,25555,2865960,36,-0.193546938,-0.235664764,0.126700744,0
20,18.2,549516,128722,312740,23381,1385556,79,-0.193546938,-0.235664764,0.126700744,0
6,27.4,768020,419716,491492,17110,834651,26,0.092368046,-0.235664764,-0.1128066,0
10,16.5,485210,367114,257298,19250,1698543,80,-0.193546938,-0.235664764,0.013849095,0
9,17,7204516,99999999,4249673,42251,3783660,30,-0.193546938,-0.235664764,0.126700744,0
3,30.6,153494,131516,115729,4755,1041143,26,0.180264064,-0.235664764,0.013849095,0
7,21.1,894322,193424,12350,1082,379658,58,0.092368046,-0.235664764,0.126700744,1
6,29.7,175054,269368,112024,9000,1744713,13,0.180264064,-0.235664764,0.013849095,0
13,22.6,271854,52602,67146,7533,946580,20,0.180264064,-0.235664764,0.013849095,0
15,13.3,1242010,208098,65436,20532,1955442,43,-0.193546938,-0.235664764,0.013849095,0
5,8,100804,112024,64600,2042,406296,32,0.180264064,-0.235664764,0.126700744,0
9,12.5,154550,163262,65531,8710,751944,27,0.180264064,-0.235664764,-0.1128066,1
5,11.3,347908,536074,147535,3068,1003124,14,0.180264064,-0.235664764,0.126700744,0
8,30.3,392568,199584,146794,5899,1053360,75,-0.193546938,-0.235664764,0.126700744,0
6,20.2,686290,767316,529283,35343,3786700,13,0.092368046,-0.235664764,0.126700744,1
10,12.7,562848,99999999,80693,38841,2877075,34,-0.193546938,-0.235664764,0.126700744,0
5,13.3,212410,260788,5681,17079,1313774,21,0.180264064,0.583192905,0.013849095,1
8,20.8,650496,782716,448305,36406,2510755,31,-0.193546938,-0.235664764,0.013849095,0
6,15.4,431222,287408,217493,5653,754566,38,0.180264064,-0.235664764,0.013849095,0
5,16.5,234344,283756,121847,3456,843011,26,0.092368046,-0.235664764,-0.1128066,1
12,21.2,1527724,325292,661010,14683,1198615,31,-0.193546938,-0.235664764,0.126700744,0
10,12.5,196548,97240,122550,8437,653163,39,0.180264064,-0.235664764,-0.1128066,1
8,21.6,587796,112310,99503,13358,1185267.066,45,-0.193546938,-0.235664764,0.013849095,0
11,15,1333596,99999999,663404,32665,2630740,33,-0.193546938,0.583192905,-0.1128066,0
14,28.5,786830,672474,472967,19940,2323092,33,-0.193546938,-0.235664764,0.126700744,0
9,19.1,1741036,660924,166896,11476,2663724,32,-0.193546938,-0.235664764,0.126700744,0
9,16.5,924594,99999999,154907,10559,812269,30,-0.193546938,-0.235664764,0.126700744,0
8,18.7,514668,447392,399570,30589,1931920,15,-0.193546938,-0.235664764,0.126700744,0
12,10.5,1055604,538406,408424,11111,2510888,16,0.180264064,-0.235664764,0.013849095,0
6,36.3,221958,199804,108490,4578,1380445,11,-0.193546938,-0.235664764,0.013849095,0
13,25.1,2155868,314380,1623569,110311,6651900,22,0.092368046,0.583192905,0.126700744,0
8,26,1372536,763004,736117,25831,7907382,17,-0.193546938,0.583192905,0.126700744,0
19,20.6,1672704,99999999,336585,14994,2010371,30,0.180264064,0.583192905,0.126700744,0
9,10.9,150260,139370,53200,10970,658217,3,0.180264064,-0.235664764,0.126700744,1
12,15,383680,328812,304190,17780,1325212,52,0.180264064,0.583192905,0.013849095,0
4,21,222508,333674,137978,3840,1418239.507,61,0.180264064,0.583192905,0.126700744,0
6,14.8,92598,87296,11191,1411,984071.9755,35,0.180264064,-0.235664764,0.013849095,1
16,25.5,2075128,544566,362007,14200,2633666,36,-0.193546938,0.583192905,0.126700744,0
13,32.1,530948,99999999,260452,14290,772464,30,0.092368046,-0.235664764,0.013849095,0
6,24.2,327294,123244,210881,8128,1177381.684,47,-0.193546938,-0.235664764,-0.68396445,0
9,22.1,923472,367334,397176,36529,1427211.364,53,-0.193546938,-0.235664764,0.126700744,0
11,29.5,1338612,532070,890169,49780,2871945,40,0.180264064,-0.235664764,0.126700744,1
8,15.1,1316942,559218,395808,23180,1571547,27,-0.193546938,0.583192905,0.126700744,0
12,16.5,696586,65252,39102,2592,863949,16,0.180264064,-0.235664764,-0.1128066,0
17,12.2,2413686,306592,1488365,24350,2836890,35,-0.193546938,-0.235664764,0.126700744,0
12,12.8,291786,134552,108110,15705,716566,32,0.180264064,-0.235664764,0.126700744,0
10,13.4,0,293744,0,11659,1345295,38,0.180264064,-0.235664764,0.126700744,0
14,17.2,603834,313302,153843,11014,937346,26,-0.193546938,-0.235664764,-0.68396445,0
5,11.8,380446,99999999,95285,2294,447602,30,0.180264064,-0.235664764,0.126700744,0
13,34.5,647944,246862,248463,16596,1453652,62,0.180264064,-0.235664764,-0.1128066,0
10,21.4,236984,270468,50958,13496,1265267,10,-0.193546938,0.583192905,0.013849095,0
